21
1459,4078.6414,5736.9443
3152,-2519.8384,-8920.679
3612,9792.292,-1319.8131
4913,3970.9478,3586.8152
4970,-1965.0878,9202.575
5467,-6763.032,-2817.1184
7632,-3170.7908,-9774.941
8848,-9874.76,291.98633
10779,-4268.687,8877.803
11217,-1802.5681,-9984.587
12111,-8964.822,-4370.722
13155,6991.2354,-1196.9032
14097,-6588.765,6209.5166
14302,2848.9512,1924.5237
16227,-9370.534,3349.293
17165,9467.854,-3746.033
17463,1914.3635,101.83277
18255,638.751,-2765.6921
18468,4031.0618,-3233.989
18559,8577.415,6713.584
19742,1844.4087,1571.6158
