21
128560429,41.17403,-8.61328
128560436,41.17226,-8.612682
128560437,41.171074,-8.612841
128560439,41.17037,-8.612933
128560441,41.169907,-8.612917
128560443,41.169662,-8.612864
128560446,41.167015,-8.6117525
128564067,41.172714,-8.612704
128564068,41.17261,-8.611124
128564070,41.170982,-8.611311
128564071,41.1711,-8.612804
128564072,41.1723,-8.612647
128566335,41.17183,-8.612743
248671061,41.171295,-8.612816
287458447,41.17394,-8.610381
287458449,41.172768,-8.610378
316511863,41.167755,-8.610765
316511864,41.169518,-8.608461
343646688,41.170948,-8.611279
473111709,41.173893,-8.613224
799027639,41.173626,-8.613121
